,bus number,fromNode,fromNode_long,fromNode_lat,toNode,toNode_long,toNode_lat,weight,opp
509,62,way/534637120,103.9108927,1.3952198,way/635679590,103.9107346,1.3953428,,1
510,62,way/635679590,103.9107346,1.3953428,Meridian Stn Exit A(65169),103.910029,1.3958293,,1
511,62,Meridian Stn Exit A(65169),103.910029,1.3958293,way/534637123,103.90954,1.396298,,1
512,62,way/534637123,103.90954,1.396298,way/620519867,103.9081877,1.3973968,,1
513,62,way/620519867,103.9081877,1.3973968,way/649801185,103.9078244,1.3977026,,1
514,62,way/649801185,103.9078244,1.3977026,way/620519868,103.9075658,1.3979008,,1
515,62,way/620519868,103.9075658,1.3979008,way/620519866,103.9073006,1.3981067,,1
516,62,way/620519866,103.9073006,1.3981067,way/512918169,103.9071746,1.3982113,,1
517,62,way/512918169,103.9071746,1.3982113,way/175052982,103.9070222,1.3983536,,1
518,62,way/175052982,103.9070222,1.3983536,way/635682236,103.9066751,1.3986471,,1
519,62,way/635682236,103.9066751,1.3986471,Cove Stn Exit A( 65159),103.9061631,1.3990411,,1
520,62,Cove Stn Exit A( 65159),103.9061631,1.3990411,way/620522276,103.905969,1.3991975,,1
521,62,way/620522276,103.905969,1.3991975,way/620522277,103.9057933,1.3993302,,1
522,62,way/620522277,103.9057933,1.3993302,way/620522275,103.9055425,1.3995032,,1
523,62,way/620522275,103.9055425,1.3995032,way/445282967,103.9052397,1.3997121,,1
524,62,way/445282967,103.9052397,1.3997121,way/582412285,103.9047973,1.3999896,,1
525,62,way/582412285,103.9047973,1.3999896,way/651981596,103.9042272,1.400287,,1
526,62,way/651981596,103.9042272,1.400287,Aft Punggol Rd(65209),103.9038676,1.4003315,,1
527,62,Aft Punggol Rd(65209),103.9038676,1.4003315,way/174886179,103.9036593,1.4005865,,1
528,62,way/174886179,103.9036593,1.4005865,way/651981593,103.9033769,1.4007313,,1
529,62,way/651981593,103.9033769,1.4007313,way/651981590,103.9031062,1.4008667,,1
