bus number,fromNode,fromNode_long,fromNode_lat,toNode,toNode_long,toNode_lat,weight,direction
43,way/717446182,103.8975195,1.4058358,Soo Teck Stn (65141),103.8974167,1.4053356,56.48034276,0
43,Soo Teck Stn (65141),103.8974167,1.4053356,way/74668481,103.8973056,1.4051196,26.89461789,0
43,way/74668481,103.8973056,1.4051196,way/717446181,103.8971189,1.4044194,80.16392312,0
43,way/717446181,103.8971189,1.4044194,way/620530723,103.8970463,1.4041105,35.09914181,0
43,way/620530723,103.8970463,1.4041105,way/620530724,103.8969556,1.40368,48.66088093,0
43,way/620530724,103.8969556,1.40368,way/500374533,103.8968757,1.4033165,41.16577023,0
43,way/500374533,103.8968757,1.4033165,way/582412290,103.896838,1.40314,19.962341,0
43,way/582412290,103.896838,1.40314,Twin Waterfalls (65431),103.8967454,1.4024184,80.45358643,0
43 Reverse,Aft TPE (65439),103.8963115,1.4017197,way/717440786,103.8965417,1.402309,70.0167852,1
43 Reverse,way/717440786,103.8965417,1.402309,way/476693038,103.8966044,1.4027476,48.99755176,1
43 Reverse,way/476693038,103.8966044,1.4027476,way/582412289,103.8966663,1.4031707,47.28868702,1
43 Reverse,way/582412289,103.8966663,1.4031707,way/476693039,103.8966966,1.4033432,19.36993717,1
43 Reverse,way/476693039,103.8966966,1.4033432,way/582412286,103.8967252,1.4035041,18.07395659,1
43 Reverse,way/582412286,103.8967252,1.4035041,way/190451323,103.8969487,1.4044363,106.0363462,1
43 Reverse,way/190451323,103.8969487,1.4044363,Soo Teck Stn (65149),103.89706,1.4052507,90.90006472,1
